
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_018.45_00001.asd.ref
 -------------------------------------------------------------
Falhada                                                                                                                                                     
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:02:53
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 214 offset was 2097
SWIR2 gain was 513 offset was 2267
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 09:52:54 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 09:53:02 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_18.45_00001.asd.ref
735	 0.107890069484711 
736	 0.107937678694725 
737	 0.108031876385212 
738	 0.108120575547218 
739	 0.108153834939003 
740	 0.108161903917789 
741	 0.108185365796089 
742	 0.108241707086563 
743	 0.108325861394405 
744	 0.108391284942627 
745	 0.10844998806715 
746	 0.108516365289688 
747	 0.108596950769424 
748	 0.108616448938847 
749	 0.108660213649273 
750	 0.108761452138424 
751	 0.108840182423592 
752	 0.108917415142059 
753	 0.108992792665958 
754	 0.109064877033234 
755	 0.109141051769257 
756	 0.109201714396477 
757	 0.109265454113483 
758	 0.109348520636559 
759	 0.109362155199051 
760	 0.109458073973656 
761	 0.109587520360947 
762	 0.109575353562832 
763	 0.109646759927273 
764	 0.109740532934666 
765	 0.109799802303314 
766	 0.109824448823929 
767	 0.109903529286385 
768	 0.110010787844658 
769	 0.11009855568409 
770	 0.110127747058868 
771	 0.110216096043587 
772	 0.110326275229454 
773	 0.110384546220303 
774	 0.110396027565002 
775	 0.110426165163517 
776	 0.11048498749733 
777	 0.110547415912151 
778	 0.110602378845215 
779	 0.11064837872982 
780	 0.110685519874096 
781	 0.1107132807374 
782	 0.110711924731731 
783	 0.110732011497021 
784	 0.110794678330421 
785	 0.110862664878368 
786	 0.110879302024841 
787	 0.110883511602879 
788	 0.110907934606075 
789	 0.110907584428787 
790	 0.110929079353809 
791	 0.110930897295475 
792	 0.110881879925728 
793	 0.110903978347778 
794	 0.11092521250248 
795	 0.110914312303066 
796	 0.110870704054832 
797	 0.110811427235603 
798	 0.110790714621544 
799	 0.110799558460712 
800	 0.11078055202961 
801	 0.110760390758514 
802	 0.1106898188591 
803	 0.110597468912601 
804	 0.110601961612701 
805	 0.110534712672234 
806	 0.110456071794033 
807	 0.11041247099638 
808	 0.110347308218479 
809	 0.110276609659195 
810	 0.110208459198475 
811	 0.11014349013567 
812	 0.110067777335644 
813	 0.109976507723331 
814	 0.109880782663822 
815	 0.109796337783337 
816	 0.109738416969776 
817	 0.109621725976467 
818	 0.109492018818855 
819	 0.109431006014347 
820	 0.109331376850605 
821	 0.109252221882343 
822	 0.109182141721249 
823	 0.109066098928452 
824	 0.108951099216938 
825	 0.108823470771313 
826	 0.108693838119507 
827	 0.108594425022602 
828	 0.108490139245987 
829	 0.108373202383518 
830	 0.108243271708488 
831	 0.108106918632984 
832	 0.108021728694439 
833	 0.107935130596161 
834	 0.107810489833355 
835	 0.107672825455666 
836	 0.107574038207531 
837	 0.107457153499126 
838	 0.107302255928516 
839	 0.107219904661179 
840	 0.107109047472477 
841	 0.106994353234768 
842	 0.106906071305275 
843	 0.106794215738773 
844	 0.106663711369038 
845	 0.10653056204319 
846	 0.106411769986153 
847	 0.106310427188873 
848	 0.106205277144909 
849	 0.106114484369755 
850	 0.10604952275753 
851	 0.105931617319584 
852	 0.10579739511013 
853	 0.105671860277653 
854	 0.105568893253803 
855	 0.105490237474442 
856	 0.105396009981632 
857	 0.105304829776287 
858	 0.105245634913445 
859	 0.105100736021996 
860	 0.104984477162361 
861	 0.104923740029335 
862	 0.104874812066555 
863	 0.104824259877205 
864	 0.104738123714924 
865	 0.104647241532803 
866	 0.10461164265871 
867	 0.104542903602123 
868	 0.104477450251579 
869	 0.104414366185665 
870	 0.104320451617241 
871	 0.104231528937817 
872	 0.104136809706688 
873	 0.104070499539375 
874	 0.104086808860302 
875	 0.104052357375622 
876	 0.103962555527687 
877	 0.103874035179615 
878	 0.103867776691914 
879	 0.10387609899044 
880	 0.103850446641445 
881	 0.103802226483822 
882	 0.10378635674715 
883	 0.103719040751457 
884	 0.103647857904434 
885	 0.103620648384094 
886	 0.103650256991386 
887	 0.103604011237621 
888	 0.103601828217506 
889	 0.10364942997694 
890	 0.103622898459435 
891	 0.103568337857723 
892	 0.103569187223911 
893	 0.103616990149021 
894	 0.103620707988739 
895	 0.103616490960121 
896	 0.103609748184681 
897	 0.103602461516857 
898	 0.103597968816757 
899	 0.103619024157524 
900	 0.103650778532028 
901	 0.103678405284882 
902	 0.103693194687366 
903	 0.103690810501575 
904	 0.103721678256989 
905	 0.103775382041931 
906	 0.103800497949123 
907	 0.103833764791489 
908	 0.103852689266205 
909	 0.103874251246452 
910	 0.103930369019508 
911	 0.103962682187557 
912	 0.103991992771626 
913	 0.104030422866344 
914	 0.104085192084312 
915	 0.104192055761814 
916	 0.104234635829926 
917	 0.104241050779819 
918	 0.104295164346695 
919	 0.104352861642838 
920	 0.104402631521225 
921	 0.104448691010475 
922	 0.104505814611912 
923	 0.104598499834538 
924	 0.104658737778664 
925	 0.104713305830956 
926	 0.104802198708057 
927	 0.104900948703289 
928	 0.104952871799469 
929	 0.104992121458054 
930	 0.105064995586872 
931	 0.105174578726292 
932	 0.105275489389896 
933	 0.105353258550167 
934	 0.105437748134136 
935	 0.105601914227009 
936	 0.105708725750446 
937	 0.105777576565742 
938	 0.105838514864445 
939	 0.105897083878517 
940	 0.106011852622032 
941	 0.106071949005127 
942	 0.106089688837528 
943	 0.106192328035831 
944	 0.10633011162281 
945	 0.106398239731789 
946	 0.106460750102997 
947	 0.106639564037323 
948	 0.106753937900066 
949	 0.106790274381638 
950	 0.106850631535053 
951	 0.107001036405563 
952	 0.106999441981316 
953	 0.107059143483639 
954	 0.107177756726742 
955	 0.107292786240578 
956	 0.107391349971294 
957	 0.107468567788601 
958	 0.10753158479929 
959	 0.107617318630219 
960	 0.107782565057278 
961	 0.10789106041193 
962	 0.107968412339687 
963	 0.108045257627964 
964	 0.108127988874912 
965	 0.108225792646408 
966	 0.108335830271244 
967	 0.108424007892609 
968	 0.10847432911396 
969	 0.108628414571285 
970	 0.108682923018932 
971	 0.108649767935276 
972	 0.108654290437698 
973	 0.108833953738213 
974	 0.108968764543533 
975	 0.109006293118 
976	 0.108990244567394 
977	 0.109028212726116 
978	 0.109222672879696 
979	 0.109272107481956 
980	 0.109198100864887 
981	 0.109311655163765 
982	 0.109431579709053 
983	 0.109515234827995 
984	 0.109548300504684 
985	 0.109535224735737 
986	 0.109466768801212 
987	 0.109587967395782 
988	 0.109717085957527 
989	 0.10973148047924 
990	 0.109859682619572 
991	 0.109892405569553 
992	 0.109861359000206 
993	 0.109878718852997 
994	 0.11002279818058 
995	 0.109994031488895 
996	 0.110014833509922 
997	 0.110066965222359 
998	 0.110060572624207 
999	 0.110211431980133 
1000	 0.11013025790453 
1001	 0.109633177518845 
1002	 0.109657347202301 
1003	 0.109755493700504 
1004	 0.109707176685333 
1005	 0.109776310622692 
1006	 0.109734669327736 
1007	 0.109576597809792 
1008	 0.109665788710117 
1009	 0.109737396240234 
1010	 0.109875187277794 
1011	 0.109908163547516 
1012	 0.109955944120884 
1013	 0.109960734844208 
1014	 0.109836280345917 
1015	 0.109795674681664 
1016	 0.109800226986408 
1017	 0.109850354492664 
1018	 0.109808146953583 
1019	 0.109787002205849 
1020	 0.109839409589767 
1021	 0.109920136630535 
1022	 0.109958738088608 
1023	 0.10996451228857 
1024	 0.109964229166508 
1025	 0.109868265688419 
1026	 0.109830357134342 
1027	 0.109862759709358 
1028	 0.109853386878967 
1029	 0.109806746244431 
1030	 0.109784550964832 
1031	 0.109821043908596 
1032	 0.109827093780041 
1033	 0.109917066991329 
1034	 0.110034234821796 
1035	 0.110032252967358 
1036	 0.110028028488159 
1037	 0.110004514455795 
1038	 0.109923578798771 
1039	 0.109878234565258 
1040	 0.109873749315739 
1041	 0.10982683300972 
1042	 0.109735414385796 
1043	 0.109698325395584 
1044	 0.109683133661747 
1045	 0.109654374420643 
1046	 0.10962375998497 
1047	 0.109596863389015 
1048	 0.109553195536137 
1049	 0.109462969005108 
1050	 0.109465532004833 
1051	 0.109539657831192 
1052	 0.109536722302437 
1053	 0.109576269984245 
1054	 0.109559461474419 
1055	 0.109459847211838 
1056	 0.109387248754501 
1057	 0.10929474234581 
1058	 0.109232157468796 
1059	 0.109253458678722 
1060	 0.10929424315691 
1061	 0.109332121908665 
1062	 0.109349101781845 
1063	 0.109276808798313 
1064	 0.109225735068321 
1065	 0.109201997518539 
1066	 0.109142035245895 
1067	 0.109069563448429 
1068	 0.10900042206049 
1069	 0.10895012319088 
1070	 0.108895890414715 
1071	 0.108859293162823 
1072	 0.108844414353371 
1073	 0.108848832547665 
1074	 0.108860313892365 
1075	 0.108866058290005 
1076	 0.108837649226189 
1077	 0.10875479131937 
1078	 0.108696192502975 
1079	 0.108645029366016 
1080	 0.108675383031368 
1081	 0.108763918280602 
1082	 0.108725227415562 
1083	 0.10867603123188 
1084	 0.108672887086868 
1085	 0.10861599445343 
1086	 0.108586311340332 
1087	 0.108605809509754 
1088	 0.1086051389575 
1089	 0.108529396355152 
1090	 0.108520522713661 
1091	 0.108490392565727 
1092	 0.108464159071445 
1093	 0.108470030128956 
1094	 0.108420744538307 
1095	 0.108414866030216 
1096	 0.10846022516489 
1097	 0.108513876795769 
1098	 0.108551144599915 
1099	 0.108540713787079 
1100	 0.108541592955589 
1101	 0.108533926308155 
1102	 0.108494617044926 
1103	 0.108498327434063 
1104	 0.1085394769907 
1105	 0.108536452054977 
1106	 0.10861087590456 
1107	 0.108679123222828 
1108	 0.108731515705585 
1109	 0.108804494142532 
1110	 0.108816780149937 
1111	 0.108823679387569 
1112	 0.108826234936714 
1113	 0.108857564628124 
1114	 0.108904980123043 
1115	 0.108961544930935 
1116	 0.109054543077946 
1117	 0.109124690294266 
1118	 0.109190069139004 
1119	 0.109227016568184 
1120	 0.109274692833424 
1121	 0.109307453036308 
1122	 0.109343945980072 
1123	 0.109434247016907 
1124	 0.109493792057037 
1125	 0.10955148935318 
1126	 0.109624534845352 
1127	 0.109694167971611 
1128	 0.109803043305874 
1129	 0.109896011650562 
1130	 0.109946042299271 
1131	 0.109990254044533 
1132	 0.110056929290295 
1133	 0.110115341842175 
1134	 0.110174082219601 
1135	 0.110251545906067 
1136	 0.110347509384155 
1137	 0.110379330813885 
1138	 0.110408112406731 
1139	 0.110485032200813 
1140	 0.110535889863968 
1141	 0.11060456931591 
1142	 0.11067470908165 
1143	 0.110721185803413 
1144	 0.110778704285622 
1145	 0.110858537256718 
1146	 0.110984742641449 
1147	 0.111096829175949 
1148	 0.111183278262615 
1149	 0.111260272562504 
1150	 0.111285969614983 
1151	 0.111345402896404 
1152	 0.111417606472969 
1153	 0.111496768891811 
1154	 0.11155492067337 
1155	 0.111631311476231 
1156	 0.111721254885197 
1157	 0.111804656684399 
1158	 0.111920520663261 
1159	 0.11202534288168 
1160	 0.112086266279221 
1161	 0.112190723419189 
1162	 0.112318813800812 
1163	 0.112428843975067 
1164	 0.112504877150059 
1165	 0.112563371658325 
1166	 0.112658418715 
1167	 0.112736955285072 
1168	 0.112828001379967 
1169	 0.112953998148441 
1170	 0.113110020756721 
1171	 0.113178715109825 
1172	 0.113263972103596 
1173	 0.113375931978226 
1174	 0.113441877067089 
1175	 0.113539434969425 
1176	 0.113653011620045 
1177	 0.113749124109745 
1178	 0.113862439990044 
1179	 0.11395488679409 
1180	 0.114030547440052 
1181	 0.11414347589016 
1182	 0.11424645781517 
1183	 0.114350751042366 
1184	 0.114470154047012 
1185	 0.114590004086494 
1186	 0.114693693816662 
1187	 0.114817015826702 
1188	 0.114960163831711 
1189	 0.115097090601921 
1190	 0.115219816565514 
1191	 0.11534521728754 
1192	 0.11546516418457 
1193	 0.115554802119732 
1194	 0.115661680698395 
1195	 0.115790508687496 
1196	 0.115907698869705 
1197	 0.116038583219051 
1198	 0.116153128445148 
1199	 0.116265311837196 
1200	 0.11638318002224 
1201	 0.116509653627872 
1202	 0.116649992763996 
1203	 0.116808690130711 
1204	 0.116955175995827 
1205	 0.117124669253826 
1206	 0.117256172001362 
1207	 0.117347814142704 
1208	 0.117497503757477 
1209	 0.117616876959801 
1210	 0.117711566388607 
1211	 0.117888040840626 
1212	 0.118025541305542 
1213	 0.118132680654526 
1214	 0.118294782936573 
1215	 0.11844477802515 
1216	 0.118582658469677 
1217	 0.118761792778969 
1218	 0.118930354714394 
1219	 0.119070500135422 
1220	 0.119192019104958 
1221	 0.11932198703289 
1222	 0.119404450058937 
1223	 0.119542293250561 
1224	 0.119709327816963 
1225	 0.119867250323296 
1226	 0.120040789246559 
1227	 0.120244957506657 
1228	 0.120379589498043 
1229	 0.120518878102303 
1230	 0.120667487382889 
1231	 0.12078819423914 
1232	 0.120951220393181 
1233	 0.121125638484955 
1234	 0.121278859674931 
1235	 0.121459186077118 
1236	 0.121631525456905 
1237	 0.121782414615154 
1238	 0.121952727437019 
1239	 0.12213870882988 
1240	 0.122283659875393 
1241	 0.122419208288193 
1242	 0.122569859027863 
1243	 0.122677944600582 
1244	 0.122833430767059 
1245	 0.123044021427631 
1246	 0.123211406171322 
1247	 0.123373351991177 
1248	 0.12352991104126 
1249	 0.123661264777184 
1250	 0.123821996152401 
1251	 0.124012172222137 
1252	 0.124178886413574 
1253	 0.124319933354855 
1254	 0.124474368989468 
1255	 0.124638848006725 
1256	 0.124802306294441 
1257	 0.12500011920929 
1258	 0.125187069177628 
1259	 0.125342130661011 
1260	 0.125446990132332 
1261	 0.125605657696724 
1262	 0.125774502754211 
1263	 0.125928923487663 
1264	 0.126094400882721 
1265	 0.126261651515961 
1266	 0.126418203115463 
1267	 0.126580893993378 
1268	 0.126761227846146 
1269	 0.12693352997303 
1270	 0.127090588212013 
1271	 0.127259477972984 
1272	 0.127426475286484 
1273	 0.127604067325592 
1274	 0.127817675471306 
1275	 0.12799671292305 
1276	 0.128174677491188 
1277	 0.128370746970177 
1278	 0.128521531820297 
1279	 0.128698542714119 
1280	 0.128868237137794 
1281	 0.129038497805595 
1282	 0.129205673933029 
1283	 0.129352480173111 
1284	 0.129533380270004 
1285	 0.129762694239616 
1286	 0.129946038126945 
1287	 0.130119353532791 
1288	 0.130298465490341 
1289	 0.130444347858429 
