Wavelength;ref
493;0.299211264
494;0.300147653
495;0.301092714
496;0.302201152
497;0.303446829
498;0.304471165
499;0.305847019
500;0.307260543
501;0.308318675
502;0.309483886
503;0.310800791
504;0.312139183
505;0.313275427
506;0.314633638
507;0.316086531
508;0.317502856
509;0.318950355
510;0.320249557
511;0.321588635
512;0.323222399
513;0.324976832
514;0.326531112
515;0.327953547
516;0.329686105
517;0.331206322
518;0.332643241
519;0.33417061
520;0.335720509
521;0.337261617
522;0.338865787
523;0.340605021
524;0.342158318
525;0.343809843
526;0.345645696
527;0.347429782
528;0.349078536
529;0.350689322
530;0.352372646
531;0.354105175
532;0.355817676
533;0.357526332
534;0.359296918
535;0.361074895
536;0.362838268
537;0.364579409
538;0.366312563
539;0.36796838
540;0.369630694
541;0.371394932
542;0.373210251
543;0.374892563
544;0.376443744
545;0.378019094
546;0.379589349
547;0.381204933
548;0.382876486
549;0.384500146
550;0.386171013
551;0.387826771
552;0.389381379
553;0.390982211
554;0.392557144
555;0.394089788
556;0.395637959
557;0.397245318
558;0.398851693
559;0.400411546
560;0.402056545
561;0.403133869
562;0.403853416
563;0.404864252
564;0.406320989
565;0.407868713
566;0.4091461
567;0.40986374
568;0.410493225
569;0.411411881
570;0.412780344
571;0.414191842
572;0.415362895
573;0.416240603
574;0.416947305
575;0.417573333
576;0.41785273
577;0.417786568
578;0.417906195
579;0.418582797
580;0.419648141
581;0.420670897
582;0.421164989
583;0.421129167
584;0.420796603
585;0.420573294
586;0.420669973
587;0.421109468
588;0.421846181
589;0.42286092
590;0.423777878
591;0.424403369
592;0.424656034
593;0.424506992
594;0.424138993
595;0.423731118
596;0.423439562
597;0.423859626
598;0.424549609
599;0.425006717
600;0.425256044
601;0.425221145
602;0.424950123
603;0.424580961
604;0.424328446
605;0.424148381
606;0.424053401
607;0.424162686
608;0.424340755
609;0.424553663
610;0.424785376
611;0.42500928
612;0.425099075
613;0.425079435
614;0.425059795
615;0.424984783
616;0.42485112
617;0.424688727
618;0.424566478
619;0.424490154
620;0.424466968
621;0.424447834
622;0.424172461
623;0.423981994
624;0.423911572
625;0.423782229
626;0.423686206
627;0.423540801
628;0.423351914
629;0.423321784
630;0.423207015
631;0.423033804
632;0.42288968
633;0.422735929
634;0.422559351
635;0.422408193
636;0.422355503
637;0.422168821
638;0.422044158
639;0.422028273
640;0.421746165
641;0.421682894
642;0.421691298
643;0.421507627
644;0.421367288
645;0.421228945
646;0.421115458
647;0.421090484
648;0.420958817
649;0.420834839
650;0.420783341
651;0.420678914
652;0.420550406
653;0.420466393
654;0.420444667
655;0.420188904
656;0.420076996
657;0.420094311
658;0.419923931
659;0.419898689
660;0.419880748
661;0.419790268
662;0.419788241
663;0.419799209
664;0.419805557
665;0.419810236
666;0.419824213
667;0.419907779
668;0.419964463
669;0.419822961
670;0.419860452
671;0.419936359
672;0.419969946
673;0.420115799
674;0.420187175
675;0.420252174
676;0.420379281
677;0.420320928
678;0.420340568
679;0.420442343
680;0.42045781
681;0.420394808
682;0.420383751
683;0.420474499
684;0.420581549
685;0.420467407
686;0.420311332
687;0.420313716
688;0.420375019
689;0.42029506
690;0.420127124
691;0.420049042
692;0.419993401
693;0.419965416
694;0.41998443
695;0.420078069
696;0.420187593
697;0.420361847
698;0.420607269
699;0.420773447
700;0.420843571
701;0.420941502
702;0.42119053
703;0.421337128
704;0.421608388
705;0.42201522
706;0.422353268
707;0.42258358
708;0.422782958
709;0.423029244
710;0.42335546
711;0.423764914
712;0.424181134
713;0.42453289
714;0.424874127
715;0.425152034
716;0.425501615
717;0.426100373
718;0.426499099
719;0.426817
720;0.427173048
721;0.427598834
722;0.428057909
723;0.428432941
724;0.428709745
725;0.429174244
726;0.429625809
727;0.430027366
728;0.430415064
729;0.430844247
730;0.431344569
731;0.431809664
732;0.432082027
733;0.43261084
734;0.433188051
735;0.433637857
736;0.43397826
737;0.434303403
738;0.434654146
739;0.435029656
740;0.435357332
741;0.435718477
742;0.436144263
743;0.436623544
744;0.437065601
745;0.437474817
746;0.437876314
747;0.438290566
748;0.4385221
749;0.438736379
750;0.439063013
751;0.43949315
752;0.439842045
753;0.440125376
754;0.440397263
755;0.440651864
756;0.440909296
757;0.441161722
758;0.441405624
759;0.441731989
760;0.4419806
761;0.442188323
762;0.442514509
763;0.442701668
764;0.442796409
765;0.442894876
766;0.44309634
767;0.443301618
768;0.443454355
769;0.4435184
770;0.443455338
771;0.443595141
772;0.443804115
773;0.443864286
774;0.443916291
775;0.443847865
776;0.44372654
777;0.44370383
778;0.443772137
779;0.443758368
780;0.443629026
781;0.443496019
782;0.443409055
783;0.443301886
784;0.443161875
785;0.44308129
786;0.442927241
787;0.44269824
788;0.442436337
789;0.44219932
790;0.442025274
791;0.441847801
